id,user_id,type_id,value,color,desc
1,null,1,Человек,null,"В большинстве миров люди — это самая молодая
из распространённых рас. Они поздно вышли на
мировую сцену и живут намного меньше, чем
дварфы, эльфы и драконы. Возможно, именно
краткость их жизней заставляет их стремиться достигнуть как можно большего в отведённый им
срок. А быть может, они хотят что-то доказать
старшим расам, и поэтому создают могучие империи, основанные на завоеваниях и торговле. Что
бы ни двигало ими, люди всегда были инноваторами и пионерами во всех мирах. "
1,null,9,Без сознания,#94a3b8,"Существо без сознания выведено из строя (не может совершать действия и ответные действия), не может перемещаться и говорить и не знает, что происходит вокруг него."
4,null,9,Захват,#fb923c,"Скорость захваченного существа равна о, и оно не получает пользы от бонусов к скорости.
Состояние прекращается, если захвативший выведен из строя (см. это состояние).
Состояние прекращается, если некий эффект выводит захваченного из зоны досягаемости захватившего, например когда его отбрасывает громовая волна."
8,null,9,Обездвиженность,#fbbf24,"Скорость обездвиженного существа равна о, и оно не получает пользы от бонусов к скорости.
Броски атаки против этого существа получают преимущество, а броски атак самого существа получают помеху.
Существо получает помеху к испытаниям Ловкости."
9,null,9,Окменение,#94a3b8,"Окаменевшее существо превращается в твёрдую неживую субстанцию (обычно камень) вместе со всеми немагическими предметами, которые носит или держит. Его вес увеличивается десятикратно, и оно перестаёт стареть.
Окаменевшее существо выведено из строя (не может совершать действия и ответные действия), не может перемещаться и говорить и не знает, что происходит вокруг него.
Броски атаки против него получают преимущество.
Существо автоматически проваливает испытания Силы и Ловкости.
У существа появляется устойчивость к любому урону.
Существо получает невосприимчивость к яду и болезни, но яд и болезнь, которыми оно заразилось ранее, не исцеляются, а лишь приостанавливают действие."
11,null,9,Паралич,#f472b6,"Парализованное существо выведено из строя (не может совершать действия и ответные действия) и не может ни перемещаться, ни говорить.
Существо автоматически проваливает испытания Силы и Ловкости.
Броски атаки против него получают преимущество.
Любая атака, попавшая по этому существу, — это критический удар, если атакующий находится в пределах 5 футов от цели."
12,null,9,Расплатстанность,#fb923c,"Распластавшееся существо может перемещаться только ползком, пока не встанет, тем самым прекратив состояние.
Существо получает помеху к своим броскам атаки.
Броски атак против этого существа имеют преимущество, если атакующий находится в пределах 5 футов от цели. В противном случае броски атак получают помеху."
14,null,9,Шок,	#facc15,"Шокированное существо выведено из строя (не может совершать действия и ответные действия), не может перемещаться и может говорить только прерывисто.
Существо автоматически проваливает испытания Силы и Ловкости.
Броски атаки против него получают преимущество."
12,null,2,Плут,null,null
18,null,4,Боевые топоры,null,null
19,null,4,Ручные топоры,null,null
20,null,4,Легкие молоты,null,null
21,null,4,Боевые молоты,null,null
21,null,6,Дварфский,null,null
22,null,6,Общий,null,null
19,null,5,Инструменты кузнеца,null,null
20,null,5,Инструменты пивовара,null,null
21,null,5,Инструменты каменщика,null,null
13,null,3,Средние доспехи,null,null
14,null,3,Щиты,null,null
15,null,3,Воинское оружие,null,null
4,null,1,Дварф,null,null
13,null,2,Варвар,null,null
23,null,6,Инфернальный,null,null
22,null,4,Боевые посохи,null,null
23,null,4,Дротики,null,null
24,null,4,Кинжалы,null,null
25,null,4,Легкие арбалеты,null,null
26,null,4,Пращи,null,null
5,null,1,Полурослик,null,null
6,null,1,Драконорожденный,null,null
7,null,1,Гном,null,null
